id,dc_num,cc_num,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_other,work_occupation,work_self,inc_wage,inc_retempl,inc_self,inc_ss,inc_intdiv,inc_rent,inc_gov,inc_alimony,inc_child,inc_retsav,inc_wage_freq,inc_retempl_freq,inc_self_freq,inc_ss_freq,inc_intdiv_freq,inc_rent_freq,inc_gov_freq,inc_alimony_freq,inc_child_freq,inc_retsav_freq,paypref_b1,paypref_b2,paypref_nb1,paypref_nb2,paypref_lt10,paypref_10to25,paypref_25to50,paypref_50to100,paypref_100plus,paypref_web,cc_type_1,cc_type_2,cc_type_3,cc_type_4,cc_type_5,cc_rewards_1,cc_rewards_2,cc_rewards_3,cc_rewards_4,cc_rewards_5,cc_hasbal_1,cc_hasbal_2,cc_hasbal_3,cc_hasbal_4,cc_hasbal_5,cc_chip_1,cc_chip_2,cc_chip_3,cc_chip_4,cc_chip_5,dc_logo_1,dc_logo_2,dc_logo_3,dc_logo_4,dc_logo_5,dc_rewards_1,dc_rewards_2,dc_rewards_3,dc_rewards_4,dc_rewards_5,dc_acct_1,dc_acct_2,dc_acct_3,dc_acct_4,dc_acct_5,shops_online,last_income_date,paypref_b1_why,paypref_b2_why,paypref_nb1_why,paypref_nb2_why,paypref_web_why,e_exp_csh,e_exp_chk,e_exp_od,e_exp_cc,e_exp_heloc,e_exp_sav,e_exp_payday,e_exp_fam,e_exp_cover,e_exp_pawn,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_prepaid_saved,e_exp_tot_saved,e_exp_prepaid,interest_level,memory_lpd,memory_checkbook,memory_receipts,memory_finrec,memory_memory,memory_oth,next_income_date,scpc_date,gender,dateofbirth_year,age,marital_status,highest_education,hispaniclatino,hispaniclatino_group,race_white,race_black,race_asian,race_other,hh_size,income_hh,homeowner,home_value,home_debt,other_assets,other_debts,ind_weight,census_division
103517,2,NA,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,1,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-27,5,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2019-10-11,2019-09-23,0,1966,52,6,11,0,NA,0,1,0,0,2,32000,0,NA,NA,0,0,0.9877540469169617,1
101042,1,1,0,0,1,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,4,4,4,4,4,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-26,13,5,5,5,4,0,0,473,527,0,0,0,0,1000,0,0,273,14,24,311,0,1,0,0,0,0,1,0,NA,2019-09-19,1,1961,58,1,10,0,NA,1,0,0,0,2,38000,1,240000,93000,100000,25000,0.5223677158355713,1
102023,NA,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,2,3,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,9,4,100,500,0,900,0,500,0,0,2000,0,100,500,500,0,1100,0,2,0,1,0,1,1,0,2019-11-06,2019-09-20,0,1967,52,1,13,0,NA,0,0,1,0,5,200000,1,450000,0,0,0,2.4677741527557373,1
100696,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,5,NA,NA,NA,NA,NA,7,3,3,2,3,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-17,5,5,5,5,4,0,500,0,500,0,1000,0,0,2000,0,250,5000,10000,0,15250,0,2,0,0,0,0,1,0,2019-10-31,2019-09-22,1,1965,54,1,14,0,NA,0,0,1,0,1,75000,1,375000,150000,75000,0,0.9632209539413452,1
105010,1,1,0,0,0,0,1,0,0,NA,NA,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,4,4,NA,NA,NA,NA,NA,6,2,3,4,1,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-25,5,5,10,5,4,0,0,0,0,0,2000,0,0,2000,0,600,0,0,0,600,0,1,0,1,1,1,0,0,2019-10-23,2019-09-24,1,1952,66,1,9,0,NA,1,0,0,0,2,100000,1,250000,100000,100000,0,1.4991822242736816,1
103003,2,1,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,4,NA,NA,4,NA,NA,NA,3,1,3,1,1,3,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-03,5,1,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,2019-11-01,2019-09-20,0,1950,68,5,13,0,NA,1,0,0,0,1,9000,0,NA,NA,0,14000,0.8997836709022522,1
101231,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,4,1,3,4,4,4,4,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-01,3,10,5,3,3,0,1000,0,0,0,0,0,0,1000,0,100,500,0,0,600,0,2,0,0,1,1,1,0,2019-11-01,2019-09-18,1,1985,34,6,14,0,NA,0,0,1,0,1,85000,0,NA,NA,0,20000,4.001105785369873,1
101720,NA,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,NA,NA,NA,5,NA,NA,NA,NA,NA,6,3,2,1,1,1,3,3,3,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-27,5,5,5,1,4,0,2000,0,0,0,0,0,0,2000,0,98000,6310,120,0,104430,0,1,0,1,1,0,0,0,2019-10-11,2019-10-05,1,1966,53,6,9,0,NA,1,0,0,0,1,0,0,NA,NA,750000,0,3.8031883239746094,1
105404,0,3,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,3,3,3,3,3,2,1,4,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-17,10,10,16,5,4,0,2000,0,0,0,0,0,0,2000,0,30,500,500,0,1030,0,2,0,0,1,0,1,0,2019-10-30,2019-10-23,1,1971,48,1,13,0,NA,1,0,0,0,4,140000,1,175000,100000,100000,20000,0.24997638165950775,1
103309,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,10,4,4,4,4,4,4,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-16,5,10,5,12,4,0,1000,0,0,0,0,0,0,1000,0,0,1230,0,34,1264,0,2,0,0,0,1,1,0,2019-11-06,2019-10-19,0,1986,33,6,14,0,NA,1,0,0,0,3,40000,0,NA,NA,50000,200000,0.7991359829902649,1
104873,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,1,1,1,3,3,3,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-04,5,5,1,5,8,0,0,0,0,0,2000,0,0,2000,0,0,1500,5680,0,7180,0,3,0,0,0,0,0,1,2019-10-18,2019-09-19,0,1984,35,6,14,0,NA,1,0,0,0,1,48600,0,NA,NA,15000,9000,0.7064697742462158,1
101374,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,4,3,3,3,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2019-10-18,10,5,5,1,4,0,0,0,2000,0,0,0,0,2000,0,0,550,500,0,1050,0,1,0,1,1,0,0,0,2019-11-15,2019-09-18,1,1963,55,2,14,0,NA,1,0,0,0,1,78000,1,360000,129000,20000,4000,0.2662777900695801,1
102721,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,4,4,4,4,4,4,6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-09-27,5,5,5,5,4,0,2000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2019-10-25,2019-10-14,1,1969,50,1,13,0,NA,1,0,0,0,5,110000,1,950000,620000,100000,7000,0.5982422828674316,1
102328,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,1,4,4,4,3,4,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-18,5,1,5,1,4,0,1000,0,1000,NA,0,0,0,2000,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2019-11-01,2019-09-28,1,1983,36,1,13,0,NA,1,0,0,0,3,90000,1,325000,235000,50000,20000,0.4727855920791626,1
101491,0,NA,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,6,1,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-04,5,5,5,3,4,0,200,0,0,0,0,0,300,500,0,0,0,0,0,0,0,3,0,0,0,0,1,0,NA,2019-09-25,1,1958,61,1,10,0,NA,1,0,0,0,2,95000,0,NA,NA,2000,75000,0.24996809661388397,2
100316,1,NA,0,0,0,0,1,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,4,4,1,1,1,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-01,1,1,1,1,12,0,2000,0,0,0,0,0,0,2000,0,0,7000,0,0,7000,0,1,1,0,1,0,0,0,2019-11-01,2019-09-21,1,1956,63,4,10,0,NA,1,0,0,0,1,8500,0,NA,NA,450000,20000,0.3001447319984436,1
103451,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,NA,4,NA,NA,NA,NA,NA,NA,NA,3,7,3,1,3,3,3,3,3,3,1,2,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-23,5,5,5,5,4,0,0,0,0,0,2000,0,0,2000,0,42,972,9448,0,10462,0,2,0,0,1,1,0,0,2019-11-06,2019-09-19,1,1984,35,6,14,0,NA,1,0,0,0,2,161000,1,600000,309000,225000,148000,0.635170578956604,1
100887,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,4,4,4,4,4,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-30,5,10,5,5,4,0,0,0,0,0,2000,0,0,2000,0,70,150,3000,0,3220,0,1,0,0,1,1,1,0,2019-10-31,2019-09-21,1,1961,57,1,13,0,NA,1,0,0,0,3,75000,0,NA,NA,35000,21000,0.24996846914291382,4
105369,1,NA,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,3,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-24,1,5,1,5,8,0,200,0,0,0,0,0,0,200,0,0,200,0,0,200,0,1,0,1,1,0,1,0,2019-11-08,2019-10-31,0,1977,41,6,13,1,2,0,0,0,1,1,2000,0,NA,NA,0,0,0.629222571849823,1
101496,0,2,0,0,0,0,1,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,NA,4,NA,NA,4,NA,NA,NA,NA,NA,3,7,3,7,3,3,3,3,3,3,1,6,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-30,12,5,13,5,11,0,2000,0,0,NA,0,0,0,2000,0,220,25370,14539,0,40129,0,2,0,0,0,1,0,0,2019-11-29,2019-09-19,0,1946,73,1,15,0,NA,1,0,0,0,2,90000,1,285000,0,900000,0,0.9646657705307007,1
103746,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,4,4,4,4,4,4,4,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-18,15,1,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,NA,2019-09-19,0,1980,39,1,9,0,NA,0,1,0,0,6,16090,0,NA,NA,0,50000,1.4497078657150269,1
100281,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,4,4,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-10,1,1,1,1,1,0,500,0,0,0,1500,0,0,2000,0,0,600,1500,0,2100,0,2,0,1,1,0,0,0,2019-10-24,2019-10-12,0,1969,50,6,12,1,4,1,0,0,0,1,41000,1,130000,0,0,16000,1.5088274478912354,1
100923,1,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,7,2,4,1,1,1,4,4,4,3,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-19,13,5,5,5,12,0,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2019-10-18,2019-09-20,0,1968,50,6,10,0,NA,1,0,0,0,2,13800,1,8000,0,0,35000,0.29914745688438416,5
102198,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,1,1,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-04,5,5,5,5,4,0,0,0,0,0,2000,0,0,2000,0,0,0,140000,0,140000,0,2,0,0,0,0,0,1,2019-10-19,2019-09-20,1,1965,54,1,13,0,NA,1,0,0,0,4,200000,1,380000,0,100000,0,0.8329333662986755,1
103851,1,1,0,0,0,0,1,0,0,NA,NA,0,1,0,1,1,0,0,0,0,1,NA,4,NA,4,5,NA,NA,NA,NA,4,7,3,2,4,1,1,3,3,3,3,6,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-01,10,5,5,14,4,0,1000,0,0,0,1000,0,0,2000,0,0,0,10000,0,10000,0,2,0,0,1,1,0,0,2019-11-01,2019-09-19,1,1947,72,1,14,0,NA,1,0,0,0,2,100000,1,400000,250000,2000000,10000,0.7006669640541077,5
102918,0,2,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,1,1,3,3,3,5,1,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-27,10,5,1,3,14,0,0,0,0,0,2000,0,0,2000,0,0,0,2500,0,2500,0,3,0,1,1,0,0,0,2019-10-25,2019-09-25,1,1954,65,1,10,0,NA,1,0,0,0,3,150000,1,300000,65000,850000,150000,2.2182328701019287,1
